=== SCENARIO: STRESS TEST WITH FAILURE ===
Time(s) | RPM | Temp(C) | OutFan | Beep | Overload
----------------------------------------------------
0.0 | 0.0 | 0 | 0 | OFF | OFF
1.0 | 90.0 | 59 | 202 | ON | OFF
2.0 | 150.0 | 59 | 203 | OFF | OFF
3.0 | 180.0 | 59 | 203 | OFF | OFF
4.0 | 210.0 | 59 | 203 | OFF | OFF
5.0 | 240.0 | 59 | 203 | OFF | OFF
6.0 | 240.0 | 59 | 203 | OFF | OFF
7.0 | 210.0 | 59 | 202 | OFF | OFF
8.0 | 240.0 | 59 | 202 | OFF | OFF
9.0 | 240.0 | 60 | 203 | OFF | OFF
10.0 | 240.0 | 59 | 202 | OFF | OFF
11.0 | 240.0 | 59 | 203 | OFF | OFF
12.0 | 240.0 | 59 | 202 | OFF | OFF
13.0 | 240.0 | 60 | 202 | OFF | OFF
14.0 | 240.0 | 59 | 203 | OFF | OFF
[SIM] Triggering critical sensor failure on pin 1
15.0 | 240.0 | 0 | 153 | OFF | OFF
16.0 | 210.0 | 0 | 153 | OFF | OFF
17.0 | 210.0 | 0 | 153 | OFF | OFF
18.0 | 210.0 | 0 | 152 | OFF | OFF
19.0 | 210.0 | 0 | 153 | OFF | OFF
