=== SCENARIO: EXTENDED EFFICIENCY AND AGING TEST ===
Time(s) | Tin | Tout | Fin | Fout | Power | FanDuty | PumpDuty
-------------------------------------------------------------------
0.0 | 450.0 | 450.0 | 25.0 | 49.7 | 0.0 | 0.0 | 0.0
5.0 | 431.1 | 431.1 | 25.0 | 48.2 | 0.0 | 0.0 | 0.0
10.0 | 381.5 | 381.5 | 25.0 | 46.9 | 0.0 | 0.0 | 0.0
15.0 | 320.0 | 320.0 | 25.0 | 45.5 | 0.0 | 0.0 | 0.0
20.0 | 269.9 | 269.9 | 25.0 | 44.3 | 0.0 | 0.0 | 0.0
25.0 | 250.0 | 250.0 | 25.0 | 43.1 | 0.0 | 0.0 | 0.0
30.0 | 267.9 | 267.9 | 25.0 | 42.0 | 0.0 | 0.0 | 0.0
35.0 | 316.9 | 316.9 | 25.0 | 40.9 | 0.0 | 0.0 | 0.0
40.0 | 378.4 | 378.4 | 25.0 | 39.9 | 0.0 | 0.0 | 0.0
45.0 | 429.1 | 429.1 | 25.0 | 38.9 | 0.0 | 0.0 | 0.0
50.0 | 449.9 | 449.9 | 25.0 | 38.0 | 0.0 | 0.0 | 0.0
55.0 | 433.0 | 433.0 | 25.0 | 37.1 | 0.0 | 0.0 | 0.0
60.0 | 384.7 | 384.7 | 25.0 | 36.3 | 0.0 | 0.0 | 0.0
65.0 | 323.2 | 323.2 | 25.0 | 35.5 | 0.0 | 0.0 | 0.0
70.0 | 271.9 | 271.9 | 25.0 | 34.7 | 0.0 | 0.0 | 0.0
75.0 | 250.1 | 250.1 | 25.0 | 34.0 | 0.0 | 0.0 | 0.0
80.0 | 266.1 | 266.1 | 25.0 | 33.3 | 0.0 | 0.0 | 0.0
85.0 | 313.8 | 313.8 | 25.0 | 32.6 | 0.0 | 0.0 | 0.0
90.0 | 375.2 | 375.2 | 25.0 | 32.0 | 0.0 | 0.0 | 0.0
95.0 | 427.0 | 427.0 | 25.0 | 31.4 | 0.0 | 0.0 | 0.0
100.0 | 450.0 | 450.0 | 25.0 | 30.9 | 0.0 | 0.0 | 0.0
105.0 | 450.0 | 450.0 | 25.0 | 30.3 | 0.0 | 0.0 | 0.0
110.0 | 450.0 | 450.0 | 25.0 | 29.8 | 0.0 | 0.0 | 0.0
115.0 | 450.0 | 450.0 | 25.0 | 29.3 | 0.0 | 0.0 | 0.0
120.0 | 450.0 | 450.0 | 25.0 | 28.9 | 0.0 | 0.0 | 0.0
125.0 | 450.0 | 450.0 | 25.0 | 28.5 | 0.0 | 0.0 | 0.0
130.0 | 450.0 | 450.0 | 25.0 | 28.0 | 0.0 | 0.0 | 0.0
135.0 | 450.0 | 450.0 | 25.0 | 27.6 | 0.0 | 0.0 | 0.0
140.0 | 450.0 | 450.0 | 25.0 | 27.3 | 0.0 | 0.0 | 0.0
145.0 | 450.0 | 450.0 | 25.0 | 26.9 | 0.0 | 0.0 | 0.0
150.0 | 450.0 | 450.0 | 25.0 | 26.6 | 0.0 | 0.0 | 0.0
155.0 | 450.0 | 450.0 | 25.0 | 26.3 | 0.0 | 0.0 | 0.0
160.0 | 450.0 | 450.0 | 25.0 | 25.9 | 0.0 | 0.0 | 0.0
165.0 | 450.0 | 450.0 | 25.0 | 25.7 | 0.0 | 0.0 | 0.0
170.0 | 450.0 | 450.0 | 25.0 | 25.4 | 0.0 | 0.0 | 0.0
175.0 | 450.0 | 450.0 | 25.0 | 25.1 | 0.0 | 0.0 | 0.0
180.0 | 450.0 | 450.0 | 25.0 | 24.9 | 0.0 | 0.0 | 0.0
185.0 | 450.0 | 450.0 | 25.0 | 24.6 | 0.0 | 0.0 | 0.0
190.0 | 450.0 | 450.0 | 25.0 | 24.4 | 0.0 | 0.0 | 0.0
195.0 | 450.0 | 450.0 | 25.0 | 24.2 | 0.0 | 0.0 | 0.0
