=== SCENARIO: DYNAMIC LOAD TEST ===
Time(s) | Tin | Tout | Fin | Fout | Power | FanDuty | PumpDuty
-------------------------------------------------------------------
0.0 | 400.0 | 400.0 | 25.0 | 49.7 | 0.0 | 0.0 | 0.0
5.0 | 354.0 | 354.0 | 25.0 | 48.2 | 0.0 | 0.0 | 0.0
10.0 | 258.4 | 258.4 | 25.0 | 46.9 | 0.0 | 0.0 | 0.0
15.0 | 201.0 | 201.0 | 25.0 | 45.5 | 0.0 | 0.0 | 0.0
20.0 | 234.6 | 234.6 | 25.0 | 44.3 | 0.0 | 0.0 | 0.0
25.0 | 328.4 | 328.4 | 25.0 | 43.1 | 0.0 | 0.0 | 0.0
30.0 | 396.0 | 396.0 | 25.0 | 42.0 | 0.0 | 0.0 | 0.0
35.0 | 375.4 | 375.4 | 25.0 | 40.9 | 0.0 | 0.0 | 0.0
40.0 | 285.4 | 285.4 | 25.0 | 39.9 | 0.0 | 0.0 | 0.0
45.0 | 208.9 | 208.9 | 25.0 | 38.9 | 0.0 | 0.0 | 0.0
